,left_enterprise_name_code,left_enterprise_id,similarity,right_RequestId,right_RequestNameCode
84,"['0002000', '0320000', '0002270', '0464000', '0500000', '0609040', '0174070', '0377200', '0650900', '0807320', '0606600']",X1879704-6,0.6094488,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
85,"['0282940', '0320000', '0002270', '0029210', '0540470', '0439000', '0002010', '0321000', '0104400', '0234070', '0717140', '0002010', '0321000', '0441040', '0801090']",MA20ME16-4,0.60941637,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
86,"['0100000', '0478010', '0111120', '0601030', '0712910', '0082320', '0212210', '0342100', '0000000', '0121100', '0009060', '0000000', '0141270', '0489320', '0370010', '0002270', '0076270']",MA01PND6-9,0.6093563,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
87,"['0321210', '0311120', '0002320', '0402070', '0507160', '0174070', '0249000', '0540470', '0772470', '0282270']",72453150-1,0.6092628,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
88,"['0409040', '0002270', '0910160', '0509090', '0252320', '0147270', '0540470', '0439000', '0000000', '0446060', '0600000', '0000000']",59092637-1,0.6081666,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
89,"['0211000', '0381570', '0511120', '0600000', '0431500', '0002270', '0105060', '0029210', '0154000', '0377470', '0234070', '0772320']",MA1G5MWY-2,0.6060892,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
90,"['0311070', '0320000', '0244010', '0446010', '0407320', '0321000', '0249000', '0540470', '0234070', '0772320']",33780319-1,0.60607654,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
91,"['0000000', '0000000', '0000000', '0000000', '0443300', '0320000', '0000000', '0111900', '0262940', '0772200', '0377170']",73225277-2,0.6060388,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
92,"['0244010', '0371200', '0601020', '0441120', '0000000', '0121100', '0009060', '0000000', '0275200', '0321000', '0887770', '0161150', '0381570', '0331810', '0802270']",MA018W1F-8,0.60591495,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
93,"['0311070', '0320000', '0244010', '0801270', '0407320', '0321000', '0234070', '0772320']",MA676EMP-X,0.6059034,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
